"Folketingsvalget 2011 for Nordjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"4. THISTED OPSTILLINGSKREDS";43064;13303;2454;1991;2704;1448;573;5839;13158;1582
" ";"Sejerslev";590;203;27;21;36;14;14;82;155;38
" ";"Flade";487;168;41;11;29;9;0;77;123;29
" ";"Bjergby";280;70;27;9;24;18;0;25;98;9
" ";"Sundby (Thisted opstillingskreds)";414;132;25;16;27;18;3;59;121;13
" ";"Solbjerg";305;74;17;6;24;20;1;53;106;4
" ";"Thorup";271;58;24;22;18;8;2;37;86;16
" ";"Ø. Jølby";625;198;31;19;29;15;3;75;246;9
" ";"Erslev";471;154;28;18;20;15;2;67;143;24
" ";"Tødsø";613;199;28;26;39;29;2;72;197;19
" ";"Frøslev";433;149;21;21;23;19;6;58;123;13
" ";"Tæbring";417;131;25;11;26;15;8;66;123;12
" ";"Fredsø";607;171;33;21;48;31;4;82;207;10
" ";"Vils";573;163;45;13;25;33;0;82;198;14
" ";"Karby";629;161;24;20;38;76;3;93;199;15
" ";"Redsted";454;132;15;10;22;28;9;75;143;20
" ";"Ørding";432;98;22;17;29;15;6;65;156;24
" ";"Ø. Assels";474;155;18;7;29;17;4;86;139;19
" ";"Nykøbing (Thisted opstillingskreds)";6080;2434;315;231;451;201;58;595;1564;229
" ";"Thisted By";5875;2071;328;253;398;183;85;639;1682;233
" ";"Harring-Stagstrup";873;289;48;34;38;26;28;133;257;20
" ";"Hillerslev-Kåstrup";635;163;28;31;26;31;8;87;239;22
" ";"Hundborg-Jannerup";655;182;32;37;50;14;24;106;166;43
" ";"Vorupør";475;152;29;18;16;9;3;116;118;14
" ";"Nors-Tved";1092;237;48;58;56;45;14;131;475;28
" ";"Sennels";856;229;53;59;40;23;3;91;340;17
" ";"Sjørring-Thorsted";986;300;72;44;69;35;13;110;317;26
" ";"Skjoldborg-Kallerup";430;88;24;17;21;24;17;86;136;17
" ";"Snedsted-Nørhå";1381;418;78;79;78;40;15;306;302;64
" ";"Sønderhå-Hørsted";293;61;23;29;15;11;2;52;83;17
" ";"Thisted Landsogn";2741;881;194;123;175;62;37;336;862;71
" ";"Vang-Tvorup";299;64;21;15;32;3;15;64;69;16
" ";"Skinnerup, V Og Ø Vandet";411;82;24;24;20;10;10;48;165;28
" ";"Øsløs, Vesløs Og Arup";813;273;45;23;58;26;3;131;209;45
" ";"Østerild, Hunstrup";735;202;19;23;41;30;6;102;297;15
" ";"Hanstholm";1304;317;53;77;57;35;8;319;409;29
" ";"Ræhr/Vigsø";616;132;25;26;21;20;1;136;238;17
" ";"Klitmøller";560;126;81;26;41;22;5;71;155;32
" ";"Frøstrup";758;295;46;24;31;23;14;73;179;73
" ";"Lild";211;68;15;7;17;5;2;19;54;24
" ";"Bedsted (Thisted opstillingskreds)";1376;357;91;60;99;42;34;205;441;47
" ";"Hurup";2253;648;108;179;139;47;46;246;799;40
" ";"Koldby";1235;323;74;84;95;38;9;193;367;52
" ";"Vestervig";1175;300;72;92;61;32;33;165;382;38
" ";"Ydby";871;195;57;50;73;31;13;125;290;37
" ";"5. HIMMERLAND OPSTILLINGSKREDS";42117;10528;2793;2419;4032;1833;349;5342;13516;1292
" ";"Aalestrup";2530;539;120;78;176;86;32;338;1093;67
" ";"Farsø";3038;689;155;192;229;123;66;466;1052;65
" ";"Strandby (Himmerland opstillingskreds)";543;101;46;21;65;21;6;75;181;26
" ";"Hvalpsund";1106;262;80;64;128;44;8;150;330;40
" ";"Gedsted";1261;317;76;48;121;64;5;185;415;30
" ";"Vester Hornum";698;141;25;50;75;31;8;92;261;14
" ";"Løgstør";3306;842;138;114;645;84;14;386;994;89
" ";"Salling";903;175;36;24;135;42;5;122;328;36
" ";"Ranum";1197;254;90;34;256;45;11;150;304;52
" ";"Overlade";639;124;27;32;81;18;6;97;235;19
" ";"Aars";5894;1407;412;532;450;231;41;791;1901;128
" ";"Gislum-Vognsild";743;151;46;44;51;43;8;117;265;18
" ";"Hornum-Ulstrup";1168;250;61;115;106;59;8;162;382;24
" ";"Skivum-Giver";575;138;43;34;45;26;2;91;180;16
" ";"Støvring";5248;1346;407;328;366;231;26;658;1753;132
" ";"Skørping";2801;789;367;150;308;130;15;208;658;175
" ";"Terndrup";1568;595;65;64;121;66;7;174;425;51
" ";"Suldrup";1770;447;103;107;131;83;12;233;583;70
" ";"Nørager";1899;423;122;129;148;102;32;234;653;53
" ";"Haverslev";821;216;61;44;58;34;8;89;290;21
" ";"Øster Hornum";1259;297;121;96;107;69;10;115;415;29
" ";"Bælum";1038;378;60;39;71;67;2;122;240;59
" ";"Ravnkilde";626;142;42;30;49;40;4;109;189;21
" ";"Blenstrup";1022;402;43;31;63;66;8;131;246;32
" ";"Veggerby";464;103;47;19;47;28;5;47;143;25
" ";"6. MARIAGERFJORD OPSTILLINGSKREDS";27003;8227;1715;1311;1964;1189;233;3522;7856;979
" ";"Assens (Mariagerfjord opstillingskreds)";1594;609;84;61;138;55;6;232;354;55
" ";"Mariager";2672;610;222;170;189;134;64;359;826;98
" ";"Arden";2320;799;134;103;198;114;14;224;639;94
" ";"Valsgaard";1400;348;84;62;113;67;8;163;500;55
" ";"Vebbestrup";1507;356;76;73;118;77;13;270;481;41
" ";"Hadsund";4565;1570;251;237;264;182;22;631;1254;153
" ";"Veddum-Skelund";769;291;31;25;60;73;3;89;175;22
" ";"Als";1744;577;96;85;105;67;3;221;528;61
" ";"Hørby (Mariagerfjord opstillingskreds)";2308;612;141;109;135;110;26;326;778;71
" ";"Onsild";1478;363;104;66;116;68;18;224;468;50
" ";"Hobro";6646;2092;492;320;528;242;56;783;1853;279
" ";"7. AALBORG ØST OPSTILLINGSKREDS";48333;15895;4205;2240;5378;2069;351;5025;9924;3220
" ";"Sønderbroskolen";6614;1919;694;366;815;382;39;598;1157;637
" ";"Gigantium";5375;1923;461;215;702;192;40;538;862;438
" ";"Vejgaard - Hallen";3279;1182;306;121;391;115;40;352;516;256
" ";"Vejgaard Østre Skole";5089;1873;422;188;628;194;39;516;857;366
" ";"Mellervangskolens Idrætshal";2548;945;160;83;297;90;24;296;482;171
" ";"Klaruphallen";3030;987;235;192;247;110;12;303;857;86
" ";"Gug Skole";5672;1669;500;343;448;204;46;595;1623;242
" ";"Gistrup Skoles Idrætshal";6015;1565;737;345;704;324;37;520;1421;361
" ";"Tornhøjskolen, Hallen";4474;1650;336;148;642;190;40;478;566;423
" ";"Idrætscentret Kongerslev";1369;491;63;49;112;57;8;222;322;43
" ";"Mou - Hallen";1646;578;87;51;147;70;6;241;395;70
" ";"Båndby - Hallen";3222;1113;204;139;245;141;20;366;866;127
" ";"8. AALBORG VEST OPSTILLINGSKREDS";41088;11508;3735;2561;3848;1991;233;3958;10875;2368
" ";"Vesterkærets Skole";3273;1115;268;134;427;169;8;289;514;349
" ";"Poul Paghs Gades Skole";5155;1268;673;254;630;363;23;327;1030;586
" ";"Vester Mariendal Skolehal";5376;1687;563;271;592;245;38;500;1105;373
" ";"Hallen Ved Skalborggård";3338;1102;240;199;282;124;21;410;829;130
" ";"Kfum - Hallen";8440;1788;894;814;691;433;32;652;2732;398
" ";"Frejlev Skoles Idrætshal";3280;874;277;200;237;174;28;387;1018;85
" ";"Svenstruphallen";4387;1392;282;261;326;153;23;535;1254;161
" ";"Ferslev Skolehal";2212;698;127;98;166;88;11;309;642;73
" ";"Nibe Skole";4193;1203;322;247;343;188;32;374;1328;155
" ";"Farstruphallen";1434;381;89;83;154;54;17;175;423;58
" ";"9. AALBORG NORD OPSTILLINGSKREDS";40718;12955;3318;2092;3684;1846;261;4566;9569;2405
" ";"Gl. Lindholm Skole, Kulturhus";7547;2705;589;371;731;305;26;929;1364;522
" ";"Løvvanghallen";6512;2613;356;251;626;208;51;865;1137;404
" ";"Vadumhallen";1952;635;104;102;128;52;26;238;602;65
" ";"Sulsted Skolehal";4433;1339;316;210;310;196;43;530;1347;141
" ";"Vodskov Hallen";4574;1401;377;266;389;162;31;478;1281;189
" ";"Aalborghallen";7909;1631;1132;509;898;614;47;465;1816;787
" ";"Vester Hassing Hallen";3774;1289;249;200;308;161;17;444;967;136
" ";"Hals Skole";3068;1020;147;139;231;115;10;484;790;130
" ";"Ulstedhallen";949;322;48;44;63;33;10;133;265;31

