"Folketingsvalget 2011 for Sjællands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Vallensved";401;97;27;13;24;32;1;67;123;17
" ";"5. FAXE OPSTILLINGSKREDS";37717;8501;2734;1972;3249;1675;116;6744;10749;1966
" ";"Haslev 01";4599;1041;389;226;398;228;16;781;1313;207
" ";"Haslev 02";5173;1174;395;274;474;215;20;849;1473;294
" ";"Faxe";3022;895;172;170;237;100;16;499;778;155
" ";"Hylleholt";2679;662;191;130;330;98;4;419;633;212
" ";"Karise";2677;571;161;113;228;120;10;545;780;149
" ";"Dalby";2371;472;185;141;175;107;6;450;748;87
" ";"Rønnede";2484;537;153;136;188;120;7;484;761;97
" ";"Hårlevhallen";3760;822;260;185;323;152;11;696;1117;193
" ";"Strøbyhallen";4538;853;350;227;344;257;13;831;1478;185
" ";"Stevnshallen";3833;907;285;232;330;133;8;680;1016;241
" ";"Harmonien";2581;567;193;138;222;145;5;510;652;146
" ";"6. KØGE OPSTILLINGSKREDS";54185;11711;4729;2831;4990;2966;167;8580;15259;2939
" ";"Køge By - Midt";2855;611;290;185;242;158;5;425;795;144
" ";"Køge By - Vest";3543;1022;265;149;382;139;12;565;715;293
" ";"Lellinge";641;126;59;37;41;42;0;91;219;26
" ";"Højelse / Lille Skensved";1363;265;124;64;95;71;3;276;421;43
" ";"Ølby";3365;906;263;165;326;146;9;608;721;220
" ";"Ølsemagle";2556;577;178;125;190;141;4;474;764;102
" ";"Herfølge";2128;482;168;121;167;96;7;355;610;120
" ";"Alkestrup";908;175;72;47;70;71;1;176;256;40
" ";"Hastrup";3230;847;270;159;326;129;7;481;787;224
" ";"Køge By - Nord";3348;713;316;200;317;188;5;482;964;163
" ";"Herfølge - Syd";2162;521;142;86;300;96;4;350;501;162
" ";"Borup";3633;768;334;225;351;223;24;562;933;213
" ";"Ejby (Køge opstillingskreds)";2370;464;202;132;157;150;3;411;779;70
" ";"Gørslev";861;160;62;55;51;46;2;175;287;23
" ";"Bjæverskov";2249;413;131;130;110;123;16;463;795;68
" ";"Vemmedrup";1158;259;81;73;58;64;1;218;358;46
" ";"Hyllinge-Lyndby";2557;515;192;103;241;143;6;373;864;117
" ";"Rye";1681;299;137;73;154;94;8;288;550;78
" ";"Sæby-Gershøj";1125;209;85;49;99;66;3;197;340;76
" ";"Sonnerup";988;181;73;35;82;56;5;182;325;49
