"Folketingsvalget 2011 for Østjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Hornbækhallen";2677;566;215;131;175;151;10;263;1095;70
" ";"Blicherskolen";1747;647;93;44;80;51;9;235;545;43
" ";"Gassum Forsamlingshus";583;196;26;14;33;18;3;93;184;16
" ";"Nyvangsskolen";3528;1565;162;80;282;86;15;424;754;159
" ";"Nørrevangsskolen";3066;1471;119;48;298;71;16;411;439;193
" ";"Vestervangsskolen";4458;1648;262;157;333;147;25;492;1171;223
" ";"Østervangsskolen";2594;1112;137;47;277;67;13;289;498;153
" ";"7. RANDERS SYD OPSTILLINGSKREDS";31502;10081;2160;989;2254;1294;250;3730;9337;1400
" ";"Kulturhuset Langå";2031;730;135;56;168;72;7;196;556;110
" ";"Stevnstrup Forsamlingshus";1711;470;120;71;103;79;7;225;603;32
" ";"Jebjerg Forsamlingshus";614;187;37;13;34;17;1;73;230;22
" ";"Asferg Forsamlingshus";740;198;41;18;33;26;0;151;255;18
" ";"Purhushallen";903;262;52;36;50;41;3;141;288;29
" ";"Ø. Bjerregrav Forsamlingshus";1676;510;125;49;105;78;13;212;541;43
" ";"Hadsundvejens Skole";3301;1134;207;102;354;132;25;376;703;266
" ";"Hobrovejens Skole";2591;837;216;84;249;111;14;278;631;170
" ";"Søren Møllers Gade";3097;912;240;105;293;164;16;324;803;240
" ";"Søndermarkskolen";5281;1908;401;135;334;187;46;600;1490;179
" ";"Kristrup Skole";2825;1019;162;101;182;109;41;347;734;130
" ";"Paderup Gymnasium";1320;362;65;36;76;49;16;181;493;42
" ";"Romalt Aktivitetshal";2157;739;138;52;112;101;36;248;688;43
