"","unit","allvotes","sd","rv","kf","sf","la","kd","df","ve","el","redshare"
"4","klemensker",1761,558,77,62,108,38,59,212,539,108,0.439522998296422
"5","roenne",9546,3952,561,218,731,172,176,922,2183,631,0.556672952021789
"6","hasle",2042,741,104,32,134,35,46,227,569,154,0.503917727717924
"8","allinge",2474,766,146,49,221,50,34,315,697,196,0.478172999191593
"9","oestermarie",2046,566,94,42,167,45,70,249,587,226,0.46871945259042
"10","svaneke",1582,420,123,32,127,41,37,121,469,212,0.479772439949431
"11","nexoe",3038,1131,156,53,204,56,71,338,841,188,0.501316655694536
"12","pedersker",1220,371,61,16,89,16,36,189,370,72,0.436065573770492
"13","aakirkeby",3593,1283,181,75,219,55,152,392,1045,191,0.471193988310604
"14","christiansoe",62,13,6,1,11,1,0,7,9,14,0.612903225806452
"16","skt. joergens hallen",6983,1684,901,380,964,445,38,589,1243,737,0.484748675354432
"17","sct. hans skole",6252,2113,645,298,822,237,21,604,956,551,0.557581573896353
"18","risingskolen",2458,869,241,87,361,89,4,267,331,209,0.585435313262815
"19","munkebjergskolen",6430,1596,812,437,767,450,29,542,1333,464,0.439657853810264
"20","ejerslykkeskolen",4378,1695,378,193,572,125,14,462,527,411,0.611694837825491
"21","agedrup skole",1918,737,88,108,169,65,7,255,416,71,0.509384775808133
"22","fjordager hallen",3303,1255,210,118,370,70,13,505,577,184,0.547683923705722
"23","havnens gourmet/aasum",322,93,28,11,36,17,1,29,96,11,0.434782608695652
"24","fraugde fritidscenter",1900,618,133,90,243,69,11,241,398,97,0.504210526315789
"25","davinde forsamlingshus",248,62,18,17,30,12,2,33,60,14,0.42741935483871
"26","abildgaardskolen",3926,1705,304,75,531,54,11,409,277,559,0.711920529801324
"27","baekholmskolen",3032,998,308,134,414,115,8,291,490,273,0.555738786279683
"29","jernbanegades skole / vuc",6192,1298,926,410,866,438,17,418,1101,717,0.465277777777778
"30","csv-skolen",6047,2250,405,236,841,173,16,741,797,581,0.607243261121217
"31","lumby forsamlingshus",827,218,57,48,76,29,1,119,229,50,0.41596130592503
"32","stige skole",4212,1457,239,184,429,123,8,591,961,220,0.5
"33","allesoe forsamlingshus",288,73,27,22,17,8,2,42,89,8,0.340277777777778
"34","spurvelundskolen",2464,773,152,173,219,99,10,338,581,116,0.449675324675325
"35","kroggaardskolen",4394,1435,317,253,463,147,18,558,963,239,0.486345015930815
"36","tarup skole",3989,1234,373,295,296,140,6,479,995,171,0.426422662321384
"37","paarup forsamlingshus",3003,852,236,254,227,112,11,391,793,127,0.401598401598402
