"","unit","allvotes","sd","rv","kf","sf","la","kd","df","ve","el","redshare"
"38","korup skole",3203,981,214,214,286,119,12,475,801,101,0.427099594130503
"39","ubberudhallen",1612,376,129,115,133,81,10,252,426,89,0.370967741935484
"40","ravnebjerg forsamlingshus",357,81,32,20,23,21,2,58,94,26,0.364145658263305
"42","raadhuset (odense syd opstillingskreds)",8086,1620,1244,537,921,552,37,610,1751,814,0.414914667326243
"43","sct. knuds gymnasium",3726,561,559,344,303,291,9,251,1237,171,0.277777777777778
"44","rosengaardskolen",5045,1480,582,272,616,237,26,500,941,386,0.49197224975223
"45","sanderumhallen",7205,2040,587,493,672,298,32,889,1916,275,0.414573213046495
"46","braendekilde forsamlingshus",326,76,25,17,44,14,3,43,89,15,0.414110429447853
"47","rasmus rask skolen",3209,733,241,226,224,138,50,377,1083,136,0.340604549703958
"48","tingloekkeskolen",4179,1041,486,293,438,198,13,418,1050,238,0.410863843024647
"49","dalumskolen",5802,1749,554,367,555,228,19,681,1296,346,0.456739055498104
"50","stenloese forsamlingshus",2014,434,211,155,168,93,17,215,617,103,0.350049652432969
"51","fangel forsamlingshus",659,123,45,48,68,39,5,90,214,27,0.330804248861912
"52","hoejby skole",2988,891,254,155,343,130,8,390,693,122,0.453815261044177
"53","tingkaerskolen",406,79,32,46,48,15,1,57,101,27,0.379310344827586
"55","assens (assens opstillingskreds)",4558,1515,272,195,421,169,20,561,1147,256,0.480912681000439
"56","ebberup",1152,409,78,44,111,47,4,125,284,49,0.493923611111111
"57","turup",591,162,38,26,60,28,4,89,148,36,0.436548223350254
"58","salbrovad",611,170,37,39,54,22,2,99,161,27,0.410801963993453
"59","helnaes",179,36,11,12,14,8,2,31,56,9,0.329608938547486
"60","baagoe",23,6,4,0,0,1,0,3,9,0,0.260869565217391
"61","koeng",690,178,61,38,62,39,2,82,170,58,0.431884057971014
"62","glamsbjerg",1707,551,121,83,188,69,7,188,398,102,0.492677211482132
"63","flemloese",712,182,48,40,61,42,4,104,178,53,0.415730337078652
"64","soellested (assens opstillingskreds)",340,108,23,14,36,11,5,49,73,21,0.485294117647059
"65","oersted (assens opstillingskreds)",361,103,24,17,29,8,0,54,98,28,0.443213296398892
"66","dreslette",618,153,49,24,52,24,8,72,199,36,0.389967637540453
"67","haarby",2272,680,148,107,184,85,8,279,686,94,0.421654929577465
"68","jordloese",461,109,41,20,55,20,2,61,118,35,0.431670281995662
"69","brylle",1183,323,77,45,123,57,6,156,347,49,0.418427726120034
"70","tommerup",1309,350,110,48,128,52,13,167,375,66,0.415584415584416
"71","tommerup st",1598,463,163,72,173,74,6,169,403,74,0.444305381727159
"72","verninge",734,182,50,37,56,38,4,108,229,30,0.365122615803815
"73","naarup",342,119,24,8,27,14,2,49,90,9,0.453216374269006
"74","vissenbjerg",3974,1092,263,249,393,171,14,624,934,234,0.432561650729743
"75","aarup",2180,591,179,105,162,92,17,302,652,80,0.382110091743119
"76","kerte",456,95,28,22,21,22,6,100,149,13,0.282894736842105
"77","orte",525,127,51,25,64,24,1,63,128,42,0.443809523809524
"78","roerup",524,137,35,21,35,18,2,99,159,18,0.362595419847328
"80","middelfart v",4445,1337,384,195,435,191,23,533,1092,252,0.455343082114736
"81","middelfart oe",4549,1384,379,204,384,217,23,601,1173,184,0.429105297867663
"82","strib",2981,595,308,199,211,203,17,295,1037,114,0.308621268030862
"83","hyllehoej",1650,457,131,70,116,75,4,239,507,51,0.378181818181818
"84","aulby",926,188,75,27,82,39,7,145,322,41,0.33585313174946
"85","noerre aaby",2451,717,217,118,207,95,7,311,678,100,0.417788657690738
"86","baaring",1277,274,115,51,117,55,7,173,414,71,0.361785434612373
"87","ejby (middelfart opstillingskreds)",1941,490,126,92,190,89,6,282,595,69,0.385883565172591
"88","gelsted",1775,495,121,84,170,61,4,281,483,76,0.417464788732394
"89","brenderup",1750,419,153,55,147,103,7,244,545,76,0.366857142857143
"90","fjelsted/harndrup",1096,266,75,45,99,62,5,181,313,49,0.377737226277372
"91","bogense",2545,751,136,113,273,72,6,392,702,97,0.440471512770138
"92","klinte",661,142,23,28,96,33,1,99,207,32,0.408472012102874
"93","kongslund",1088,265,61,41,109,48,3,185,331,45,0.385110294117647
"94","horsebaek",841,215,44,35,60,24,2,162,260,39,0.373365041617122
"95","krogsboelle",1395,402,68,45,131,58,4,217,419,51,0.418637992831541
"96","otterup",3354,1030,174,118,363,99,7,481,986,95,0.443649373881932
"97","loekkemark",873,195,37,34,89,32,5,142,303,34,0.36426116838488
"98","skovloekke",849,202,59,25,119,27,4,125,239,49,0.435806831566549
"99","veflinge",1007,275,44,57,117,49,3,175,250,37,0.426017874875869
"100","haarslev",892,207,42,40,99,46,6,143,262,47,0.395739910313901
"101","morud",1787,371,162,97,147,129,7,214,587,73,0.330721880246223
"102","saerslev",1035,300,49,55,84,55,1,159,301,31,0.400966183574879
"103","soendersoe (middelfart opstillingskreds)",2780,814,129,185,267,98,7,400,768,112,0.429136690647482
"105","mesinge",1471,414,120,58,216,52,6,171,343,91,0.490142760027192
"106","kerteminde 1",2681,718,222,176,294,120,6,379,640,124,0.423722491607609
"107","kerteminde 2",1821,477,141,119,218,69,8,224,481,83,0.42723778143877
"108","nymarken",1549,411,117,54,188,76,11,214,387,89,0.444157520981278
"109","marslev",1403,405,75,66,112,56,5,254,377,52,0.405559515324305
"110","langeskov",2935,897,160,157,258,127,12,402,826,94,0.425553662691652
"111","munkebo",3995,1680,222,123,433,134,13,478,686,226,0.585481852315394
"112","aunslev forsamlingshus",1175,298,75,40,120,67,3,180,329,62,0.408510638297872
"113","nyborghallen",4213,1502,290,148,471,131,16,488,902,260,0.530026109660574
"114","borgerforeningens hus",5334,1718,436,238,597,193,19,669,1110,353,0.500187476565429
"115","vindinge forsamlingshus",2165,615,145,82,231,106,4,327,552,100,0.436951501154734
"116","langaa, svindinge og oeksendrup",732,164,37,26,76,26,0,113,234,50,0.396174863387978
"117","ullerslev",1992,666,99,74,163,62,10,306,532,79,0.455823293172691
"118","ellinge",339,94,23,22,32,15,0,52,91,10,0.40117994100295
"119","skellerup",427,143,27,19,33,8,2,66,116,11,0.437939110070258
"120","langtved",618,165,52,22,51,36,5,107,148,32,0.401294498381877
"121","oerbaek",1197,306,62,43,73,40,2,173,466,23,0.335839598997494
"122","froerup og taarup",942,272,68,20,82,42,1,117,286,46,0.424628450106157
"123","ellested og herrested",860,233,47,40,80,36,1,122,259,40,0.41046511627907
"124","kullerup og refsvindinge",810,210,40,24,71,30,1,126,255,46,0.403703703703704
"126","byen (svendborg opstillingskreds)",9482,2581,894,529,1174,422,47,931,1857,1042,0.505905927019616
"127","nordre (svendborg opstillingskreds)",2290,813,150,65,318,68,11,301,308,254,0.604803493449782
"128","oestre",4355,1440,368,166,595,115,22,509,726,409,0.561194029850746
"129","bjerreby",746,153,65,27,89,28,2,123,199,59,0.403485254691689
"130","bregninge (svendborg opstillingskreds)",2850,564,317,213,217,141,6,363,862,167,0.332631578947368
"131","drejoe",56,15,6,1,4,3,0,8,19,0,0.339285714285714
"132","egense",1834,384,199,114,179,101,4,189,547,117,0.370774263904035
"133","landet",758,193,47,33,71,21,7,122,198,66,0.435356200527704
"134","skaarup",1810,487,160,59,206,77,9,190,514,107,0.441988950276243
"135","thuroe",2580,591,290,165,172,114,10,293,828,117,0.341085271317829
"136","tved",1957,682,117,61,210,57,8,285,420,116,0.515074092999489
"137","kirkeby",931,264,57,34,122,23,8,143,227,53,0.471535982814178
"138","ollerup",1460,287,191,49,201,44,6,136,326,219,0.484246575342466
"139","stenstrup",1747,556,102,91,175,47,9,248,392,126,0.490555237550086
"140","v.skerninge",1971,453,172,72,273,77,4,208,495,216,0.4779299847793
"141","gudbjerg",870,192,59,40,115,29,5,102,270,54,0.414942528735632
"142","gudme",1072,262,86,39,136,37,7,139,306,60,0.427238805970149
"143","hesselager",1001,252,56,38,110,34,3,177,263,68,0.42957042957043
"144","oure",1236,313,132,55,146,61,15,127,282,105,0.456310679611651
"145","bagenkop",711,207,43,37,48,29,1,142,163,41,0.416315049226442
"146","humble",1186,295,76,35,95,36,6,190,367,84,0.399662731871838
"147","lindelse",825,202,53,31,71,34,5,133,244,49,0.39030303030303
"148","rudkoebing",3592,1072,231,145,439,84,20,500,784,316,0.508630289532294
"149","strynoe",139,45,10,3,22,5,0,9,19,26,0.669064748201439
"150","tulleboelle",1281,384,89,53,121,35,7,193,331,67,0.446526151444184
"151","lejboelle",462,128,33,24,40,20,2,64,104,47,0.465367965367965
"152","hou",861,234,61,30,80,25,4,157,212,58,0.43205574912892
"154","allested-vejle",1155,312,71,43,97,34,3,193,357,45,0.393073593073593
"155","brobyvaerk",881,215,64,39,84,38,2,112,260,67,0.415437003405221
"156","noerre broby",1358,382,75,24,114,42,1,179,486,55,0.405743740795287
"157","vester haesinge",717,165,50,37,63,29,1,92,230,50,0.387726638772664
"158","avernakoe",81,12,8,2,6,1,2,10,27,13,0.382716049382716
"159","faaborg vest",1753,539,127,87,128,67,4,229,509,62,0.415858528237307
"160","faaborg oest",3811,1068,340,195,431,142,16,417,957,242,0.456835476252952
"161","horne (faaborg opstillingskreds)",1456,398,106,78,145,36,9,203,416,65,0.417582417582418
"162","korinth",1397,395,100,46,128,45,9,209,368,95,0.442376521116679
"163","lyoe",78,15,1,6,4,0,0,9,39,4,0.294871794871795
"164","svanninge",1522,350,131,78,152,45,6,190,486,84,0.385019710906702
"165","vester aaby",1218,340,83,46,136,39,2,164,317,91,0.46551724137931
"166","espe",940,233,75,37,79,34,2,123,313,44,0.378723404255319
"167","hillerslev",948,183,68,30,90,40,9,142,333,52,0.342827004219409
"168","ringe",4868,1272,460,189,472,209,20,561,1450,233,0.406121610517666
"169","soellinge",763,191,59,20,92,49,0,118,186,48,0.433813892529489
"170","gislev",1422,379,101,64,154,43,17,196,380,85,0.434599156118143
"171","kvaerndrup",1453,393,136,68,145,58,6,186,390,68,0.417068134893324
"172","ryslinge",1580,465,142,47,143,47,16,216,427,77,0.433544303797468
"173","nr. lyndelse",2460,649,199,153,226,110,10,280,745,88,0.391463414634146
"174","rolfsted",1223,361,122,34,94,56,6,151,352,45,0.408830744071954
"175","aarslev",2808,798,291,117,232,120,10,349,743,148,0.41951566951567
"176","marstal",1691,424,116,209,142,50,12,276,349,113,0.40153755174453
"177","ommel",492,123,18,52,65,8,1,67,115,43,0.469512195121951
"178","bregninge (faaborg opstillingskreds)",346,54,29,19,21,13,5,54,122,28,0.297687861271676
"179","rise",580,124,25,21,30,18,4,91,241,26,0.310344827586207
"180","tranderup",250,52,10,8,16,4,1,34,110,15,0.332
"181","aeroeskoebing",737,213,59,50,67,13,5,74,206,50,0.447761194029851
"182","soeby",519,123,30,45,30,15,1,80,161,34,0.360308285163776
"185","1. oesterbro",11736,1957,2399,752,1408,858,45,522,1971,1813,0.44120654396728
"186","1. nord",4818,823,896,383,409,420,16,332,987,548,0.369447903694479
"187","1. syd",5841,945,1278,351,752,383,16,266,852,993,0.460537579181647
"188","1. oest",6526,954,1402,483,703,548,7,323,1209,895,0.391051179895801
"189","1. vest",8942,1831,1524,441,1080,533,27,708,1384,1405,0.482666070230374
"190","1. nordvest",7809,1643,1383,466,854,493,19,613,1242,1090,0.459341785119734
"192","2. sundbyvester",10345,2468,1187,397,1331,460,26,1358,1476,1629,0.524697921701305
"193","2. nord",9816,1960,1612,362,1392,462,19,894,1245,1858,0.530766096169519
"194","2. syd",6675,1092,1328,350,698,686,19,442,1194,859,0.39685393258427
"195","2. vest",7791,1220,1581,469,870,668,13,404,1365,1194,0.421512001026826
"197","3. indre by",8398,1144,1977,503,1010,689,16,275,1108,1670,0.455346511074065
"198","3. nord",5555,809,1220,448,622,444,10,229,982,786,0.399099909990999
"199","3. syd",7033,1040,1360,287,992,380,5,318,786,1849,0.551827100810465
"200","3. oest",6121,813,1198,468,571,631,16,306,1210,904,0.373795131514458
"201","3. vest",5868,735,1182,487,629,575,9,269,1088,891,0.384287661895024
"203","4. sundbyoester",7026,1499,1038,245,915,362,18,749,1025,1164,0.509251352120695
"204","4. nord",10894,2086,1798,361,1540,609,37,890,1485,2068,0.522673031026253
"205","4. syd",6696,1437,927,255,831,333,16,739,1156,990,0.486559139784946
"206","4. oest",6682,1319,1032,292,844,400,19,669,1234,866,0.453307392996109
"208","5. noerrebro",8355,1343,1763,256,1302,349,23,393,649,2269,0.588150807899461
"209","5. nord",10562,1818,2034,303,1614,500,25,505,990,2759,0.586157924635486
"210","5. syd",4839,775,907,147,714,187,11,210,352,1529,0.623682579045257
"211","5. oest",4390,653,952,191,604,254,11,163,420,1139,0.545785876993166
"212","5. vest",5846,998,1073,178,910,231,17,317,476,1637,0.606397536777284
"213","5. nordvest",8199,1249,1665,223,1310,343,11,416,614,2357,0.599585315282351
"214","5. midt",2640,413,558,106,367,139,5,108,247,692,0.557575757575758
"216","6. utterslev",11616,2363,1728,484,1652,563,41,1097,1344,2333,0.546487603305785
"217","6. nord",5768,1347,816,247,781,262,40,580,648,1041,0.549410540915395
"218","6. oest",3216,842,344,136,422,129,4,402,383,550,0.564054726368159
"219","6. syd",7145,1415,1057,243,1036,336,22,596,720,1706,0.581805458362491
"221","7. broenshoej",3345,688,479,160,463,183,8,355,529,479,0.48729446935725
"222","7. nord",1707,601,122,25,258,16,5,258,79,340,0.702401874633861
"223","7. syd",3014,641,434,164,425,128,6,303,422,489,0.515925680159257
"224","7. oest",2292,456,377,94,353,91,10,217,295,398,0.526614310645724
"225","7. vest",4757,1223,524,174,630,185,17,634,647,721,0.541097330250158
"226","7. nordvest",6642,1598,780,280,880,272,24,949,1000,853,0.501505570611262
"227","7. bellahoej",4231,984,551,181,566,156,17,482,574,717,0.535807137792484
"228","7. frederiksgaard",2891,597,460,169,344,166,14,272,431,435,0.475959875475614
"229","7. katrinedal",3707,804,557,218,473,188,15,352,593,504,0.48044240625843
"230","7. kirkebjerg",4340,841,662,224,588,266,27,381,694,650,0.479032258064516
"231","7. vanloese",8499,1872,1179,430,1132,400,33,857,1383,1204,0.495117072596776
"233","8. valby",6687,1486,1020,332,840,323,25,604,1068,982,0.494691191864812
"234","8. nord",4368,904,688,201,548,273,12,403,710,623,0.475045787545788
"235","8. syd",3590,1024,369,146,422,143,8,494,521,460,0.53091922005571
"236","8. oest",2785,513,479,115,382,167,5,212,444,467,0.489048473967684
"237","8. vest",3730,994,365,137,515,159,21,506,513,518,0.54343163538874
"238","8. sydoest",2760,636,368,92,413,91,4,299,367,489,0.557246376811594
"239","8. midt",4823,1088,723,255,624,263,10,446,715,696,0.499274310595065
"241","9. vesterbro",6126,983,1332,175,987,256,9,265,496,1615,0.585210577864838
"242","9. nord",6948,991,1591,249,1008,383,12,270,705,1735,0.537420840529649
"243","9. syd",6615,1703,637,186,919,257,22,812,684,1390,0.606500377928949
"244","9. oest",5334,746,1294,211,754,305,16,206,513,1285,0.52212223472066
"245","9. vest",4590,793,920,152,694,188,12,242,383,1200,0.585403050108932
"246","9. midt",5216,838,945,313,518,558,17,321,982,715,0.39704754601227
"248","10. kreds, soeerne",7256,1107,1562,693,753,531,15,401,1226,964,0.389195148842337
"249","10. kreds, ny hollaender",7543,1132,1584,849,716,544,16,453,1419,826,0.354500861726104
"250","10. kreds, bülowsvej",9706,1487,2069,872,1085,682,24,569,1658,1257,0.394498248506079
"251","10. kreds, duevej",8794,1472,1577,894,908,640,25,599,1586,1092,0.394814646349784
"253","11. kreds, lindevang",8533,1557,1339,769,967,582,20,736,1461,1096,0.424235321692254
"254","11. kreds, soendermark",7612,1392,1103,833,738,438,25,747,1552,781,0.382422490803994
"255","11. kreds, raadhuset",8544,1455,1593,810,864,618,25,605,1557,1012,0.389864232209738
"256","11. kreds, nyelandsvej",7000,1195,1407,565,821,523,25,425,1167,869,0.412142857142857
"258","dragoer skole syd",2919,395,357,337,172,244,5,294,973,142,0.242891401164782
"259","store magleby skole kirkevej",3241,441,281,335,192,234,1,550,1094,112,0.229867324899722
"260","st. magleby skole vierdiget",2891,568,285,212,207,178,7,423,823,187,0.332756831546178
"261","vestamager",3907,814,239,163,317,163,14,856,1085,255,0.354747888405426
"262","pilegaarden",4548,1004,375,242,371,198,14,788,1285,262,0.359938434476693
"263","taarnby",4024,1128,319,164,412,127,16,770,721,367,0.473906560636183
"264","korsvejen",3349,896,301,138,362,148,12,519,686,287,0.461331740818155
"265","loejtegaarden",3158,696,271,159,285,150,12,560,816,206,0.375870804306523
"266","kastrup (taarnby opstillingskreds)",7035,1971,527,230,801,238,17,1359,1215,667,0.488841506751955
"269","jaegersborg",4812,520,686,862,182,523,11,289,1535,203,0.1880714879468
"270","munkegaard",4003,725,656,438,299,244,15,397,941,285,0.32700474644017
"271","raadhuset (gentofte opstillingskreds)",4334,476,751,677,178,491,8,206,1356,190,0.194739270881403
"272","bakkegaard",4403,797,568,499,319,349,18,472,1042,336,0.329775153304565
"273","dyssegaard",4493,561,776,669,236,398,9,298,1299,246,0.232138882706432
"274","maglegaard",5081,454,819,799,209,552,8,278,1745,215,0.172800629797284
"275","hellerup",5322,579,825,729,267,585,16,310,1710,301,0.215520481022172
"276","ordrup",3947,425,560,619,179,404,9,299,1282,167,0.19533823156828
"277","skovshoved",4554,397,605,750,139,575,9,237,1644,196,0.160737812911726
"278","skovgaard",4084,408,541,713,134,478,13,313,1323,160,0.171890303623898
"280","lyngby midt",4147,783,605,363,325,304,11,411,1070,274,0.333252953942609
"281","lindegaard",3764,922,449,250,368,206,14,498,765,290,0.419766206163656
"282","trongaard",4066,650,589,355,356,404,13,343,1077,277,0.315543531726513
"283","engelsborg",4185,653,651,404,321,329,12,341,1225,246,0.291517323775388
"284","taarbaek",1017,157,181,106,68,109,1,57,268,69,0.289085545722714
"285","virum",4360,554,792,537,230,425,17,198,1453,153,0.214908256880734
"286","hummeltofte",3241,600,580,341,232,234,9,222,862,159,0.305769824128355
"287","fuglsanggaard",3443,684,517,329,293,209,13,318,880,200,0.34185303514377
"288","kongevej",2001,348,426,194,160,128,4,117,512,110,0.308845577211394
"289","lundtofte",3880,790,630,396,387,243,9,310,877,237,0.364432989690722
"291","bagsvaerd",4172,911,581,325,337,267,18,393,991,348,0.38255033557047
"292","buddinge",2833,744,340,160,257,157,15,328,612,215,0.429226967878574
"293","egegaard",5014,1357,491,254,477,224,17,666,1094,432,0.451934583167132
"294","hoeje gladsaxe",2023,753,164,40,208,28,10,362,204,252,0.599604547701434
"295","kildebakken",2500,737,270,101,250,95,8,353,412,272,0.5036
"296","marielyst",3519,797,615,171,380,150,18,312,692,384,0.443591929525433
"297","moerkhoej",5206,1490,533,239,506,222,12,760,970,465,0.472723780253554
"298","stengaard",5371,1249,910,347,529,315,18,416,1147,439,0.412772295661888
"299","soeborg (gladsaxe opstillingskreds)",3330,793,481,189,344,161,5,353,664,338,0.442942942942943
"300","vadgaard",3774,997,413,207,360,174,19,447,851,300,0.439056703762586
"301","vaerebro",2056,501,245,129,207,97,8,219,427,222,0.452334630350195
"303","herlev byskole afd. engskolen",1554,568,104,44,155,36,13,279,219,136,0.552767052767053
"304","herlev byskole afd. elverhoejen",3689,1129,333,205,366,118,27,525,662,318,0.49146110056926
"305","kildegaardskolen vest",3949,1056,404,227,390,214,38,500,800,316,0.446188908584452
"306","herlev hallerne",4619,1447,384,286,391,177,40,582,1009,303,0.463520242476727
"307","kildegaardskolen oest",2801,943,200,110,334,103,11,401,406,291,0.55980007140307
"308","oerbygaard",2704,754,287,142,263,102,9,367,582,197,0.44896449704142
"309","milestedet",1175,504,73,22,124,15,2,187,108,139,0.652765957446809
"310","roedovre",3592,1048,397,173,349,166,15,446,690,306,0.474109131403118
"311","valhoej",3079,1038,234,87,375,68,7,491,457,317,0.561870737252355
"312","roedovrehallen",2185,794,152,84,243,69,7,357,304,171,0.552860411899313
"313","nyager",3146,886,309,176,278,144,20,391,727,215,0.438334392879847
"314","tinderhoej",2378,828,186,67,237,101,12,347,432,167,0.518082422203532
"315","islev",3572,1022,311,199,289,144,17,596,748,244,0.435330347144457
"316","broparken",1151,396,104,62,103,29,4,180,164,106,0.525629887054735
"318","holmegaardshallen",3466,864,355,193,362,149,19,513,690,318,0.445470282746682
"319","praestemoseskolen",2685,772,234,105,272,124,8,474,499,196,0.461824953445065
"320","soenderkaerskolen",3632,1153,248,96,429,124,10,638,561,366,0.536343612334802
"321","medborgerhuset",3941,1197,313,159,465,112,7,634,709,342,0.508500380614057
"322","dansborghallen",4355,1156,406,217,377,195,19,657,961,365,0.435820895522388
"323","frihedens idraetscenter",4519,1454,360,188,426,162,10,751,807,360,0.495684886036734
"324","avedoere skole",4608,1242,383,211,395,186,19,764,1129,273,0.414496527777778
"325","avedoere bibliotek",3796,1048,321,129,487,152,14,690,516,432,0.518177028451001
"327","broendbyvester skole",2923,838,239,128,269,122,3,493,707,122,0.420458433116661
"328","tjoernehoejhallen",2786,919,175,87,277,90,7,542,497,190,0.49748743718593
"329","broendbyoester skole",2542,852,163,91,297,72,12,465,427,159,0.514555468135326
"330","noerregaard",4580,1644,302,150,491,135,11,753,700,389,0.551091703056769
"331","kulturhuset broenden",6934,2202,584,222,750,229,26,1095,1115,709,0.527978079030862
"332","ishoej landsby",1065,225,89,68,71,60,4,154,335,59,0.333333333333333
"333","vibeholmskolen",2314,739,163,84,208,86,2,384,491,155,0.476231633535004
"334","gildbroskolen",2672,887,177,74,317,79,8,450,467,210,0.529191616766467
"335","strandgaardskolen",1752,687,137,26,310,36,6,200,154,194,0.679794520547945
"336","ishoej bycenter",3271,992,243,128,260,123,3,586,729,204,0.445123815346989
"337","vallensbaek skole, multisalen",2597,531,272,240,238,146,7,391,669,103,0.335772044666923
"338","egholmskolen",2860,666,250,314,169,135,8,417,804,94,0.324825174825175
"339","pilehaveskolen",3488,794,291,408,214,165,6,467,1015,128,0.325688073394495
"341","herstedoester skole",3762,1013,328,171,469,140,14,409,608,602,0.553960659223817
"342","egelundskolen",3003,946,234,144,367,87,6,384,525,308,0.53979353979354
"343","herstedlund skole",2439,759,264,72,379,67,7,345,257,289,0.585075850758508
"344","bibliotekstorvet",2844,971,174,49,417,59,5,474,244,451,0.64662447257384
"345","herstedvester skole",3570,1134,433,111,516,94,11,372,468,427,0.581792717086835
"346","selsmoseskolen",1950,570,181,103,213,82,5,286,339,169,0.488205128205128
"347","parkskolen",2806,797,303,195,180,113,9,390,636,179,0.411974340698503
"348","moelleholmskolen",2247,572,195,204,150,100,9,299,616,101,0.366266132621273
"349","taastrup kulturcenter",1835,505,170,132,134,70,7,268,475,74,0.388555858310627
"350","borgerskolen",1460,423,137,98,114,42,5,199,363,78,0.421232876712329
"351","gadehaveskolen",3337,927,403,199,329,141,5,478,639,209,0.439017081210668
"352","roennevangsskolen",2706,868,182,141,214,87,10,463,571,166,0.46119733924612
"353","torstorp skole",2307,660,202,121,239,97,6,348,450,180,0.467706978760295
"354","sengeloese",1585,319,123,120,83,77,3,238,530,92,0.311671924290221
"355","charlotteskolen",1526,499,112,65,147,50,7,239,314,92,0.483617300131062
"356","fritidscentret hedehuset",2940,777,220,155,225,146,13,481,792,129,0.38469387755102
"357","floeng hallen",2736,697,231,221,176,116,9,393,780,110,0.359283625730994
"358","reerslev skole",565,114,61,44,36,29,1,89,162,28,0.315044247787611
"360","tapeten",3653,1393,196,116,346,134,12,651,547,257,0.546400218998084
"361","rugvaengets skole",5222,1882,345,174,530,166,9,845,802,460,0.549980850248947
"362","hoejagerskolen",2350,685,223,131,160,124,8,301,561,151,0.423829787234043
"363","grantoftehallen",2373,956,130,57,266,58,4,401,324,173,0.587863463969659
"364","rosenlundskolen",3404,959,337,220,211,196,22,390,930,134,0.383078730904818
"365","lundebjergskolen",3290,1415,158,62,289,84,7,634,377,259,0.596656534954407
"366","skovlunde lokalkontor",1489,390,163,93,96,82,19,182,382,78,0.378777703156481
"367","maaloevhallen",3462,980,378,224,266,196,18,397,802,199,0.41738879260543
"368","egebjerghallen",2921,767,383,192,180,151,10,292,740,205,0.394385484423143
"369","oesterhoejhallen",1897,523,235,116,190,92,3,202,354,180,0.47074327886136
"370","nordvangskolen",2069,533,186,116,192,99,5,287,536,113,0.405026582890285
"371","sognegaarden",2123,571,184,134,165,104,7,333,505,117,0.401789919924635
"372","soendervangskolen",3443,989,297,151,277,152,18,600,706,251,0.440604124310195
"373","vestervangskolen (ballerup opstillingskreds)",2653,989,154,67,245,73,7,550,352,212,0.545043347154165
"374","ejbyskolen",1323,220,119,86,56,85,2,155,562,38,0.237339380196523
"375","hvissingehallen",2123,667,118,85,192,62,5,379,479,135,0.468205369759774
"378","skagen",5621,2066,247,294,309,169,20,880,1430,206,0.459170966020281
"379","hulsig",105,32,4,5,7,0,0,25,25,7,0.438095238095238
"380","aalbaek",1287,398,65,75,85,40,3,203,387,30,0.398601398601399
"381","jerup",658,220,23,27,60,22,2,106,178,20,0.455927051671733
"382","elling",1132,401,42,34,66,24,16,185,328,36,0.44434628975265
"383","strandby (frederikshavn opstillingskreds)",1707,429,85,101,93,46,98,328,488,38,0.328060925600469
"384","frederikshavn nord",4051,1695,164,140,370,124,15,568,838,137,0.543569489015058
"385","frederikshavn midt",6695,2462,320,265,688,245,25,906,1479,303,0.515758028379388
