"Folketingsvalget 2011 for Københavns Omegns Storkreds efter tid, område"
"og valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Mølleholmskolen";2247;572;195;204;150;100;9;299;616;101
" ";"Taastrup Kulturcenter";1835;505;170;132;134;70;7;268;475;74
" ";"Borgerskolen";1460;423;137;98;114;42;5;199;363;78
" ";"Gadehaveskolen";3337;927;403;199;329;141;5;478;639;209
" ";"Rønnevangsskolen";2706;868;182;141;214;87;10;463;571;166
" ";"Torstorp Skole";2307;660;202;121;239;97;6;348;450;180
" ";"Sengeløse";1585;319;123;120;83;77;3;238;530;92
" ";"Charlotteskolen";1526;499;112;65;147;50;7;239;314;92
" ";"Fritidscentret Hedehuset";2940;777;220;155;225;146;13;481;792;129
" ";"Fløng Hallen";2736;697;231;221;176;116;9;393;780;110
" ";"Reerslev Skole";565;114;61;44;36;29;1;89;162;28
" ";"8. BALLERUP OPSTILLINGSKREDS";43795;13919;3606;2024;3661;1858;156;6599;8959;2962
" ";"Tapeten";3653;1393;196;116;346;134;12;651;547;257
" ";"Rugvængets Skole";5222;1882;345;174;530;166;9;845;802;460
" ";"Højagerskolen";2350;685;223;131;160;124;8;301;561;151
" ";"Grantoftehallen";2373;956;130;57;266;58;4;401;324;173
" ";"Rosenlundskolen";3404;959;337;220;211;196;22;390;930;134
" ";"Lundebjergskolen";3290;1415;158;62;289;84;7;634;377;259
" ";"Skovlunde Lokalkontor";1489;390;163;93;96;82;19;182;382;78
" ";"Måløvhallen";3462;980;378;224;266;196;18;397;802;199
" ";"Egebjerghallen";2921;767;383;192;180;151;10;292;740;205
" ";"Østerhøjhallen";1897;523;235;116;190;92;3;202;354;180
" ";"Nordvangskolen";2069;533;186;116;192;99;5;287;536;113
" ";"Sognegården";2123;571;184;134;165;104;7;333;505;117
" ";"Søndervangskolen";3443;989;297;151;277;152;18;600;706;251
" ";"Vestervangskolen (Ballerup opstillingskreds)";2653;989;154;67;245;73;7;550;352;212
" ";"Ejbyskolen";1323;220;119;86;56;85;2;155;562;38
" ";"Hvissingehallen";2123;667;118;85;192;62;5;379;479;135

