"Folketingsvalget 2011 for Sydjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Opsneum Fritidscenter";204;44;14;6;12;8;0;34;71;15
" ";"Tjæreborg Fritidscenter";1964;517;144;48;149;85;8;284;662;67
" ";"Sønderrisskolen";2389;670;151;71;180;137;30;300;761;88
" ";"Bramming";4712;1189;347;156;310;210;44;619;1708;129
" ";"Darum";807;184;49;20;47;49;8;103;311;36
" ";"Ribe";5880;1402;517;202;705;234;20;604;1806;390
" ";"Farup";511;109;30;19;43;27;8;39;210;26
" ";"V. Nykirke";354;62;18;9;19;18;3;63;153;9
" ";"Hjortlund";186;34;10;9;14;8;0;34;75;2
" ";"Hviding";1301;308;86;34;124;56;12;143;485;53
" ";"Jernved";1227;242;65;42;77;61;18;185;500;37
" ";"Kalvslund";157;14;6;5;3;11;0;11;99;8
" ";"Mandø";28;3;2;1;4;2;0;4;12;0
" ";"Obbekjær";135;20;7;3;8;6;3;18;63;6
" ";"Grimstrup";433;88;17;17;29;28;5;68;168;13
" ";"Seem";440;77;26;6;41;24;2;77;170;14
" ";"Spandet";294;70;6;5;9;14;3;57;117;13
" ";"Gørding";1584;334;84;44;111;69;29;258;606;48
" ";"Vilslev";441;101;34;7;37;28;0;47;165;21
" ";"Ø.Vedsted";651;153;55;25;53;29;3;82;214;37
" ";"Hunderup";490;93;34;12;59;29;6;58;183;16
" ";"Vejrup";746;142;22;19;45;35;7;138;320;17
" ";"6. VARDE OPSTILLINGSKREDS";31771;5985;1937;961;1871;1430;551;4525;13630;878
" ";"Varde By";8696;2069;521;348;606;378;55;1237;3203;279
" ";"Sig";744;149;61;17;33;42;4;87;325;26
" ";"Billum";535;90;33;8;32;25;1;77;256;13
" ";"Tinghøj";563;78;42;24;19;33;8;88;257;14
" ";"Alslev";994;210;74;35;69;41;9;131;401;24
" ";"Horne (Varde opstillingskreds)";763;113;53;17;56;29;10;106;364;14
" ";"Janderup";866;157;41;26;48;50;14;118;389;23
" ";"Lunde";823;133;49;19;48;30;17;131;366;30
" ";"Nørre Nebel";1531;265;76;31;107;63;11;253;661;63
" ";"Henne";534;64;35;26;28;31;22;80;231;17
" ";"Outrup";1052;147;64;28;63;57;13;153;495;32
" ";"Oksbøl";2482;514;105;74;153;94;15;331;1130;66
" ";"Blåvand";405;68;19;11;24;15;0;67;189;12
" ";"Årre";756;127;51;15;33;32;12;126;342;18
" ";"Agerbæk";1062;160;57;19;67;47;21;158;510;23
" ";"Fåborg";462;60;26;14;23;18;0;66;240;15
" ";"Næsbjerg";963;150;52;23;40;59;10;135;484;10
" ";"Starup (Varde opstillingskreds)";687;111;26;20;22;34;23;105;335;11
" ";"Nordenskov";890;143;58;22;40;43;3;123;439;19
" ";"Ølgod";3888;622;299;103;192;163;222;530;1684;72
" ";"Tistrup";1331;223;73;35;72;60;18;172;636;42
" ";"Ansager";1182;252;68;33;70;43;38;196;445;37
" ";"Skovlund";562;80;54;13;26;43;25;55;248;18
" ";"7. VEJEN OPSTILLINGSKREDS";43400;9487;2425;1559;2587;2197;520;6642;16862;1098
" ";"Billund";4250;656;280;218;178;269;52;686;1802;109
" ";"Sdr. Omme";1527;350;70;42;102;75;11;277;566;32
" ";"Vorbasse";1398;284;74;41;83;77;34;214;555;32
" ";"Filskov";685;84;21;21;33;19;5;130;356;16
" ";"St./Krogager";640;117;26;17;32;11;19;114;289;15
" ";"Grindsted";6763;1615;344;152;350;231;165;1139;2609;156
" ";"Hejnsvig";1334;240;39;33;51;59;31;286;569;26
" ";"Brørup";3581;955;190;116;229;192;14;492;1299;90
" ";"Lindknud";582;100;20;16;42;37;2;118;235;11
" ";"Holsted";2284;539;112;68;161;105;14;378;822;82
" ";"Føvling";750;100;37;16;44;49;6;137;339;20
" ";"Glejbjerg";812;144;37;21;35;54;7;115;380;19
" ";"Hovborg";365;71;18;13;22;24;7;59;138;13
" ";"Rødding (Vejen opstillingskreds)";2285;445;132;117;148;111;37;281;970;44
" ";"Sdr. Hygum";611;106;37;28;47;38;10;58;256;31
" ";"Jels";1642;365;95;55;106;75;14;240;651;40
" ";"Lintrup";482;69;34;16;15;32;2;63;244;7
" ";"Skodborg";1166;260;40;51;81;61;11;192;445;25
" ";"Københoved";329;54;25;13;16;31;7;43;136;4
" ";"Øster Lindet";529;91;30;30;35;28;3;74;216;22
" ";"Vejen";5671;1681;353;246;372;280;30;710;1846;152
" ";"Læborg";469;76;25;26;28;36;0;85;180;12
" ";"Askov-Malt";1921;374;194;91;104;126;2;202;778;50
" ";"Andst";959;192;63;37;108;53;15;137;331;22
" ";"Gesten";980;235;63;35;54;62;9;138;354;30
" ";"Bække";1385;284;66;40;111;62;13;274;496;38
" ";"8. VEJLE NORD OPSTILLINGSKREDS";33002;6668;2982;1481;2416;1763;360;5846;10310;1166
" ";"Skibethallen Nord";1504;276;141;81;99;91;15;206;526;68
" ";"Give Nord";3749;674;229;184;196;137;44;936;1284;65
" ";"Thyregod Nord";1501;230;112;26;87;68;25;501;395;56
" ";"Gadbjerg Nord";819;149;89;39;41;39;10;158;273;21
" ";"Givskud Nord";766;116;40;28;66;31;6;170;290;19
" ";"Grønbjerg Nord";732;90;57;26;35;49;11;185;264;15
" ";"Lindeballe Nord";341;47;29;16;17;29;2;59;132;10
" ";"Øster Nykirke Nord";1090;207;53;41;64;47;6;273;364;35
" ";"Jelling Nord";2662;546;341;129;280;132;18;310;772;134
" ";"Kollerup-Sandvad Nord";1159;194;80;33;106;57;14;187;441;47
" ";"Grejs Nord";898;213;92;46;58;53;17;128;270;21
" ";"Bredsten Nord";1490;277;127;49;99;72;9;261;554;42
" ";"Nørup Nord";1084;138;79;47;73;70;13;202;425;37
" ";"Randbøl Nord";1050;178;88;40;67;65;13;224;345;30
" ";"Nørremarkshallen Nord";3671;1015;384;103;380;149;62;543;826;208
" ";"Engum Nord";779;168;64;36;51;53;6;114;262;23
" ";"Hældagerhallen Nord";5526;1093;540;390;315;400;49;690;1899;147
" ";"Grejsdalshallen Nord";1536;361;181;56;144;90;23;243;344;93
" ";"Petersmindehallen Nord";2645;696;256;111;238;131;17;456;644;95
" ";"9. VEJLE SYD OPSTILLINGSKREDS";34994;8412;2860;1480;2930;2031;374;5569;9689;1643
" ";"Brejning Syd";1825;530;160;94;168;87;17;244;451;74
" ";"Børkop Syd";3525;864;289;174;255;189;63;564;1019;108
" ";"Gårslev Syd";1457;338;113;62;85;58;44;247;460;50
" ";"Smidstrup Syd";1508;302;92;62;90;96;24;280;505;57
" ";"Ødsted Syd";1329;277;102;47;79;60;22;248;453;41
" ";"Egtved Syd";2287;375;187;88;154;134;18;381;886;64
" ";"Jerlev Syd";684;145;53;20;26;38;9;143;225;25
" ";"Øster Starup Syd";1361;247;116;57;128;89;16;214;449;45
" ";"Dgi-Huset Syd";8455;2258;643;301;949;545;88;1275;1828;565
" ";"Multihuset Højen Syd";850;168;65;30;55;45;10;148;288;41
" ";"Vindinghallen Syd";3220;679;263;193;168;219;17;506;1109;66
" ";"Mølholmhallen Syd";2313;363;267;161;133;175;9;326;793;86
" ";"Løget Kirke Syd";1741;568;148;45;188;62;9;256;335;128
" ";"Csv Syd";2041;621;203;60;215;81;8;341;381;130
" ";"Rødkilde Gymnasium Syd";2398;677;159;86;237;153;20;396;507;163
" ";"10. FREDERICIA OPSTILLINGSKREDS";32053;9753;1978;1242;2530;1395;281;4858;8570;1436
" ";"Gymnasiet";8363;2986;480;277;785;275;90;1255;1752;463
" ";"Bredstrup-Pjedsted";1051;275;58;38;67;41;16;178;345;31
" ";"Erritsø";6570;1721;441;311;385;340;57;921;2195;197
" ";"Herslev";525;113;25;26;38;38;4;108;159;14
" ";"Taulov";3572;732;286;196;212;239;22;483;1311;89
" ";"Søndermarken";6256;2283;330;178;535;187;49;1025;1395;274
" ";"Bøgeskov";1345;348;84;57;69;54;7;195;500;29
" ";"Indre By";4371;1295;274;159;439;221;36;693;913;339
" ";"11. KOLDING NORD OPSTILLINGSKREDS";26744;5482;2190;1370;2503;1676;190;3458;8706;1163
" ";"Centrum Nord";4590;816;443;241;504;356;24;471;1425;308
" ";"Nordbyen";2789;839;199;94;394;131;16;413;472;231
" ";"Vestbyen (Kolding Nord opstillingskreds)";3687;1040;313;135;457;168;38;492;855;187
" ";"Strandhuse/Nr. Bjert/ Eltang";5291;789;498;380;307;420;32;596;2148;121
" ";"Bramdrupdam";3650;729;282;164;299;192;15;534;1337;98
" ";"Alminde-Viuf/Vester Nebel";3046;512;225;146;214;202;13;435;1215;84
" ";"Lunderskov/Jordrup";3691;757;230;210;328;207;52;517;1254;134
" ";"12. KOLDING SYD OPSTILLINGSKREDS";29705;6373;2199;1637;2962;1615;358;4551;8797;1200
" ";"Centrum Syd";3728;945;242;132;541;206;17;633;777;234
" ";"Sydbyen";5359;1109;522;217;706;336;88;733;1346;299
" ";"Seest";3948;888;281;188;431;169;98;581;1190;122
" ";"Dalby/Tved/Rebæk";2731;453;241;173;162;191;8;328;1113;59
" ";"S Bjert/S Stenderup/Vejstrup";2969;508;293;125;355;153;16;415;965;135
" ";"Vonsild";1807;437;123;67;142;107;8;326;544;53
" ";"Vamdrup/Hjarup/Ødis";4772;1078;232;529;301;242;54;827;1364;144
" ";"Chr.Feld/Stepping/Taps/Hejls";4391;955;265;206;324;211;69;708;1498;154
" ";"13. HADERSLEV OPSTILLINGSKREDS";35826;8652;2206;1340;3004;1810;480;4949;11973;1397
" ";"Gram";1913;456;107;71;130;76;28;276;714;55
" ";"Arnum";637;126;27;11;35;35;22;128;237;16
" ";"Tiset";180;25;12;10;12;4;2;36;73;6
" ";"Fole";218;39;10;4;21;12;2;0;120;10
" ";"Haderslev Syd-Vest";2265;533;175;107;212;128;36;269;699;106
" ";"Haderslev Syd";1882;586;106;60;182;69;33;319;440;86
" ";"Haderslev Midtby";2542;578;204;116;252;184;28;291;718;171
" ";"Haderslev Vest";2682;563;269;131;285;128;41;286;851;126
" ";"Sommersted";1126;221;44;27;74;67;28;162;472;30
" ";"Haderslev Nord";1982;591;146;95;204;75;28;260;486;96
" ";"Haderslev Øst";1614;399;134;80;134;76;20;167;508;95
" ";"Moltrup";363;63;21;13;26;27;16;67;121;9
" ";"Hoptrup";846;192;55;37;69;31;14;144;259;45
" ";"Starup (Haderslev opstillingskreds)";1905;478;122;86;128;96;10;245;676;64
" ";"Vilstrup";485;128;28;8;43;27;2;80;156;13
" ";"Kelstrup";341;61;19;14;24;17;4;57;136;8
" ";"Vonsbæk";291;50;20;13;21;20;2;49;104;12
" ";"Aastrup";1092;240;90;45;106;52;19;156;337;47
" ";"Øsby";995;250;57;32;83;80;6;130;323;34
" ";"Aarø";127;20;4;1;13;6;0;24;54;5
" ";"Marstrup";589;134;38;27;39;34;10;94;206;7
" ";"Halk";494;86;30;20;28;32;7;71;203;17
" ";"Fjelstrup";868;190;39;29;61;52;10;122;326;39
" ";"Bevtoft";872;190;41;22;49;52;35;169;290;22
" ";"Vojens Øst";2359;706;96;68;174;79;15;368;784;67
" ";"Vojens Vest";2092;607;101;55;191;76;14;274;711;63
" ";"Skrydstrup";725;163;23;20;56;34;3;105;298;23
" ";"Hammelev";1033;192;57;34;132;50;7;131;412;18
" ";"Jegerup";385;93;14;16;25;26;9;44;133;23
" ";"Simmersted";320;66;6;6;18;25;9;36;147;7
" ";"Nustrup";772;146;32;19;47;57;3;111;334;21
" ";"Oksenvad";379;77;17;18;29;16;6;54;150;12
" ";"Vedsted (Haderslev opstillingskreds)";595;136;26;19;35;25;6;96;227;25
" ";"Over Jerstal";857;267;36;26;66;42;5;128;268;19

