"Folketingsvalget 2011 Fyns Storkreds efter tid, område og valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Løkkemark";873;195;37;34;89;32;5;142;303;34
" ";"Skovløkke";849;202;59;25;119;27;4;125;239;49
" ";"Veflinge";1007;275;44;57;117;49;3;175;250;37
" ";"Hårslev";892;207;42;40;99;46;6;143;262;47
" ";"Morud";1787;371;162;97;147;129;7;214;587;73
" ";"Særslev";1035;300;49;55;84;55;1;159;301;31
" ";"Søndersø (Middelfart opstillingskreds)";2780;814;129;185;267;98;7;400;768;112
" ";"6. NYBORG OPSTILLINGSKREDS";36659;11388;2458;1551;3799;1426;125;4968;9020;1871
" ";"Mesinge";1471;414;120;58;216;52;6;171;343;91
" ";"Kerteminde 1";2681;718;222;176;294;120;6;379;640;124
" ";"Kerteminde 2";1821;477;141;119;218;69;8;224;481;83
" ";"Nymarken";1549;411;117;54;188;76;11;214;387;89
" ";"Marslev";1403;405;75;66;112;56;5;254;377;52
" ";"Langeskov";2935;897;160;157;258;127;12;402;826;94
" ";"Munkebo";3995;1680;222;123;433;134;13;478;686;226
" ";"Aunslev Forsamlingshus";1175;298;75;40;120;67;3;180;329;62
" ";"Nyborghallen";4213;1502;290;148;471;131;16;488;902;260
" ";"Borgerforeningens Hus";5334;1718;436;238;597;193;19;669;1110;353
" ";"Vindinge Forsamlingshus";2165;615;145;82;231;106;4;327;552;100
" ";"Langå, Svindinge Og Øksendrup";732;164;37;26;76;26;0;113;234;50
" ";"Ullerslev";1992;666;99;74;163;62;10;306;532;79
" ";"Ellinge";339;94;23;22;32;15;0;52;91;10
" ";"Skellerup";427;143;27;19;33;8;2;66;116;11
" ";"Langtved";618;165;52;22;51;36;5;107;148;32
" ";"Ørbæk";1197;306;62;43;73;40;2;173;466;23
" ";"Frørup Og Tårup";942;272;68;20;82;42;1;117;286;46
" ";"Ellested Og Herrested";860;233;47;40;80;36;1;122;259;40
" ";"Kullerup Og Refsvindinge";810;210;40;24;71;30;1;126;255;46
" ";"7. SVENDBORG OPSTILLINGSKREDS";48063;13049;4064;2209;5429;1767;228;5982;11263;4043
" ";"Byen (Svendborg opstillingskreds)";9482;2581;894;529;1174;422;47;931;1857;1042
" ";"Nordre (Svendborg opstillingskreds)";2290;813;150;65;318;68;11;301;308;254
" ";"Østre";4355;1440;368;166;595;115;22;509;726;409
" ";"Bjerreby";746;153;65;27;89;28;2;123;199;59
" ";"Bregninge (Svendborg opstillingskreds)";2850;564;317;213;217;141;6;363;862;167
" ";"Drejø";56;15;6;1;4;3;0;8;19;0
" ";"Egense";1834;384;199;114;179;101;4;189;547;117
" ";"Landet";758;193;47;33;71;21;7;122;198;66
" ";"Skårup";1810;487;160;59;206;77;9;190;514;107
" ";"Thurø";2580;591;290;165;172;114;10;293;828;117
" ";"Tved";1957;682;117;61;210;57;8;285;420;116
" ";"Kirkeby";931;264;57;34;122;23;8;143;227;53
" ";"Ollerup";1460;287;191;49;201;44;6;136;326;219
" ";"Stenstrup";1747;556;102;91;175;47;9;248;392;126
" ";"V.Skerninge";1971;453;172;72;273;77;4;208;495;216
" ";"Gudbjerg";870;192;59;40;115;29;5;102;270;54
" ";"Gudme";1072;262;86;39;136;37;7;139;306;60
" ";"Hesselager";1001;252;56;38;110;34;3;177;263;68
" ";"Oure";1236;313;132;55;146;61;15;127;282;105
" ";"Bagenkop";711;207;43;37;48;29;1;142;163;41
" ";"Humble";1186;295;76;35;95;36;6;190;367;84
" ";"Lindelse";825;202;53;31;71;34;5;133;244;49
" ";"Rudkøbing";3592;1072;231;145;439;84;20;500;784;316
" ";"Strynø";139;45;10;3;22;5;0;9;19;26
" ";"Tullebølle";1281;384;89;53;121;35;7;193;331;67
" ";"Lejbølle";462;128;33;24;40;20;2;64;104;47
" ";"Hou";861;234;61;30;80;25;4;157;212;58
" ";"8. FAABORG OPSTILLINGSKREDS";38507;10228;3096;1844;3586;1405;180;5005;11075;2070
" ";"Allested-Vejle";1155;312;71;43;97;34;3;193;357;45
" ";"Brobyværk";881;215;64;39;84;38;2;112;260;67
" ";"Nørre Broby";1358;382;75;24;114;42;1;179;486;55
" ";"Vester Hæsinge";717;165;50;37;63;29;1;92;230;50
" ";"Avernakø";81;12;8;2;6;1;2;10;27;13
" ";"Faaborg Vest";1753;539;127;87;128;67;4;229;509;62
" ";"Faaborg Øst";3811;1068;340;195;431;142;16;417;957;242
" ";"Horne (Faaborg opstillingskreds)";1456;398;106;78;145;36;9;203;416;65
" ";"Korinth";1397;395;100;46;128;45;9;209;368;95
" ";"Lyø";78;15;1;6;4;0;0;9;39;4
" ";"Svanninge";1522;350;131;78;152;45;6;190;486;84
" ";"Vester Aaby";1218;340;83;46;136;39;2;164;317;91
" ";"Espe";940;233;75;37;79;34;2;123;313;44
" ";"Hillerslev";948;183;68;30;90;40;9;142;333;52
" ";"Ringe";4868;1272;460;189;472;209;20;561;1450;233
" ";"Søllinge";763;191;59;20;92;49;0;118;186;48
" ";"Gislev";1422;379;101;64;154;43;17;196;380;85
" ";"Kværndrup";1453;393;136;68;145;58;6;186;390;68
" ";"Ryslinge";1580;465;142;47;143;47;16;216;427;77
" ";"Nr. Lyndelse";2460;649;199;153;226;110;10;280;745;88
" ";"Rolfsted";1223;361;122;34;94;56;6;151;352;45
" ";"Årslev";2808;798;291;117;232;120;10;349;743;148
" ";"Marstal";1691;424;116;209;142;50;12;276;349;113
" ";"Ommel";492;123;18;52;65;8;1;67;115;43
" ";"Bregninge (Faaborg opstillingskreds)";346;54;29;19;21;13;5;54;122;28
" ";"Rise";580;124;25;21;30;18;4;91;241;26
" ";"Tranderup";250;52;10;8;16;4;1;34;110;15
" ";"Ærøskøbing";737;213;59;50;67;13;5;74;206;50
" ";"Søby";519;123;30;45;30;15;1;80;161;34

